Region,Operating Profit,Year,State
South,112500,2020,Texas
South,70875,2020,Texas
South,160000,2020,Texas
South,97125,2020,Texas
South,129500,2020,Texas
South,94937.5,2020,Texas
South,126000,2020,Texas
South,81000,2020,Texas
South,190000,2020,Texas
South,133000,2020,Texas
South,149625,2020,Texas
South,112000,2020,Texas
South,135000,2020,Texas
South,87750,2020,Texas
South,250000,2020,Texas
South,133000,2020,Texas
South,149625,2020,Texas
South,154000,2020,Texas
South,126000,2020,Texas
South,94500,2020,Texas
South,243750,2020,Texas
South,129500,2020,Texas
South,145687.5,2020,Texas
South,154000,2020,Texas
South,117000,2020,Texas
South,87750,2020,Texas
South,225000,2020,Texas
South,133875,2020,Texas
South,133875,2020,Texas
South,157500,2020,Texas
South,140625,2020,Texas
South,84375,2020,Texas
South,233750,2020,Texas
South,126000,2020,Texas
South,126000,2020,Texas
South,131250,2020,Texas
South,135000,2020,Texas
South,77625,2020,Texas
South,206250,2020,Texas
South,141750,2020,Texas
South,141750,2020,Texas
South,144375,2020,Texas
South,151875,2020,Texas
South,87750,2020,Texas
South,233750,2020,Texas
South,149625,2020,Texas
South,149625,2020,Texas
South,148750,2020,Texas
South,157500,2020,Texas
South,87750,2020,Texas
South,247500,2020,Texas
South,108500,2020,Texas
South,77500,2020,Texas
South,135625,2020,Texas
South,93750,2020,Texas
West,158125,2020,California
West,58125,2020,California
West,115500,2020,California
West,72500,2020,California
West,126875,2020,California
West,86250,2020,California
West,137500,2020,California
West,52500,2020,California
West,148750,2020,California
West,84000,2020,California
West,147000,2020,California
West,108000,2020,California
West,162500,2020,California
West,63000,2020,California
West,183750,2020,California
West,87750,2020,California
West,164937.5,2020,California
West,112500,2020,California
West,170625,2020,California
West,84000,2020,California
West,216000,2020,California
West,121875,2021,California
West,195000,2021,California
West,136500,2021,California
West,196625,2021,California
West,116000,2021,California
West,234000,2021,California
West,134062.5,2021,California
West,214500,2021,California
West,147000,2021,California
West,205562.5,2021,California
West,140000,2021,California
West,215250,2021,California
West,113750,2021,California
West,187687.5,2021,California
West,130500,2021,California
West,251875,2021,California
West,93000,2021,California
West,221812.5,2021,California
West,129500,2021,California
West,182000,2021,California
West,146250,2021,California
West,281250,2021,California
West,87000,2021,California
West,152625,2021,California
West,83250,2021,California
West,127875,2021,California
West,99687.5,2021,California
West,212062.5,2021,California
West,54250,2021,California
West,144375,2021,California
West,78750,2021,California
West,115500,2021,California
West,92812.5,2021,California
West,190125,2021,California
West,49000,2021,California
West,144375,2021,California
West,78750,2021,California
West,119625,2021,California
West,96250,2021,California
West,190125,2021,California
West,54250,2021,California
West,160875,2021,California
West,87750,2021,California
West,127875,2021,California
West,106562.5,2021,California
West,204750,2021,California
West,56000,2021,California
West,98000,2021,California
West,78750,2021,California
West,126000,2021,California
West,86625,2021,California
West,137500,2021,California
West,63000,2021,California
West,105000,2021,California
West,73125,2021,California
West,121500,2021,California
West,82687.5,2021,California
West,123750,2021,California
West,58500,2021,California
West,112000,2021,California
West,73125,2021,California
West,117000,2021,California
West,86625,2021,California
West,116875,2021,California
West,56250,2021,California
West,144000,2021,California
West,75000,2021,California
West,125000,2021,California
West,82687.5,2021,California
West,116875,2021,California
West,78000,2021,California
West,144000,2021,California
West,81250,2021,California
West,130000,2021,California
West,86625,2021,California
West,123750,2021,California
West,81250,2021,California
West,162000,2021,California
West,93750,2021,California
West,150000,2021,California
West,98437.5,2021,California
West,137500,2021,California
West,104000,2021,California
West,171000,2021,California
West,100000,2021,California
West,150000,2021,California
West,102375,2021,California
West,192500,2021,California
West,91000,2021,California
West,180000,2021,California
West,116875,2021,California
West,145000,2021,California
West,118125,2021,California
West,222750,2021,California
West,84500,2021,California
West,170000,2021,California
West,116875,2021,California
West,140000,2021,California
West,113750,2021,California
West,214500,2021,California
West,91000,2021,California
West,160000,2021,California
West,110000,2021,California
West,130000,2021,California
West,109375,2021,California
West,198000,2021,California
West,84500,2021,California
West,165000,2021,California
West,113437.5,2021,California
West,135000,2021,California
West,113750,2021,California
West,198000,2021,California
West,91000,2021,California
West,180000,2021,California
West,123750,2021,California
West,140000,2021,California
West,122500,2021,California
West,206250,2021,California
West,94250,2021,California
West,85500,2021,California
West,43312.5,2021,California
West,33687.5,2021,California
West,20000,2021,California
Midwest,33687.5,2021,Illinois
Midwest,61875,2021,Illinois
Midwest,94500,2021,Illinois
Midwest,27562.5,2021,Illinois
Midwest,27562.5,2021,Illinois
Midwest,16000,2021,Illinois
Midwest,33687.5,2021,Illinois
Midwest,61875,2021,Illinois
Midwest,99000,2021,Illinois
Midwest,35000,2021,Illinois
Midwest,31500,2021,Illinois
Midwest,13500,2021,Illinois
Midwest,26250,2021,Illinois
Midwest,56250,2021,Illinois
Midwest,90000,2021,Illinois
Midwest,26250,2021,Illinois
Midwest,21000,2021,Illinois
Midwest,13500,2021,Illinois
Midwest,21000,2021,Illinois
Midwest,56250,2021,Illinois
Midwest,118800,2021,Illinois
Midwest,38500,2021,Illinois
Midwest,30625,2021,Illinois
Midwest,20000,2021,Illinois
Midwest,26250,2021,Illinois
Midwest,81250,2021,Illinois
Midwest,100000,2021,Illinois
Midwest,39375,2021,Illinois
Midwest,28000,2021,Illinois
Midwest,28000,2021,Illinois
Midwest,30625,2021,Illinois
Midwest,96250,2021,Illinois
Midwest,115000,2021,Illinois
Midwest,51187.5,2021,Illinois
Midwest,35000,2021,Illinois
Midwest,32000,2021,Illinois
Midwest,39375,2021,Illinois
Midwest,110000,2021,Illinois
Midwest,110000,2021,Illinois
Midwest,51187.5,2021,Illinois
Midwest,35000,2021,Illinois
Midwest,36000,2021,Illinois
Midwest,35000,2021,Illinois
Midwest,103125,2021,Illinois
Midwest,100000,2021,Illinois
Midwest,47250,2021,Illinois
Midwest,28000,2021,Illinois
Midwest,28000,2021,Illinois
Midwest,30625,2021,Illinois
Midwest,68750,2021,Illinois
Midwest,102000,2021,Illinois
Midwest,43750,2021,Illinois
Midwest,26250,2021,Illinois
Midwest,25000,2021,Illinois
Midwest,26250,2021,Illinois
Midwest,81250,2021,Illinois
Midwest,96000,2021,Illinois
Midwest,43750,2021,Illinois
Midwest,34125,2021,Illinois
Midwest,35000,2021,Illinois
Midwest,31500,2021,Illinois
Midwest,81250,2021,Illinois
Midwest,120000,2021,Illinois
Midwest,52500,2021,Illinois
Midwest,43750,2021,Illinois
Midwest,40000,2021,Illinois
Midwest,42000,2021,Illinois
Midwest,97500,2021,Illinois
Midwest,43500,2021,Illinois
Midwest,65250,2021,Illinois
Midwest,47250,2021,Illinois
Midwest,73500,2021,Illinois
South,37500,2021,Texas
South,82687.5,2021,Texas
South,50625,2021,Texas
South,68250,2021,Texas
South,49875,2021,Texas
South,59500,2021,Texas
South,30000,2021,Texas
South,78750,2021,Texas
South,70875,2021,Texas
South,94500,2021,Texas
South,52500,2021,Texas
South,63000,2021,Texas
South,36000,2021,Texas
South,78750,2021,Texas
South,49000,2021,Texas
South,73500,2021,Texas
South,45937.5,2021,Texas
South,57375,2021,Texas
South,34125,2021,Texas
South,90000,2021,Texas
South,52500,2021,Texas
South,81375,2021,Texas
South,54687.5,2021,Texas
South,86625,2021,Texas
South,67500,2021,Texas
South,180000,2021,Texas
South,126000,2021,Texas
South,140000,2021,Texas
South,102375,2021,Texas
South,121500,2021,Texas
South,75000,2021,Texas
South,240625,2021,Texas
South,148500,2021,Texas
South,165000,2021,Texas
South,175500,2021,Texas
South,129375,2021,Texas
South,100625,2021,Texas
South,280500,2021,Texas
South,160000,2021,Texas
South,176000,2021,Texas
South,195000,2021,Texas
South,131250,2021,Texas
South,101062.5,2021,Texas
South,255750,2021,Texas
South,159500,2021,Texas
South,148500,2021,Texas
South,174000,2021,Texas
South,135000,2021,Texas
South,86625,2021,Texas
South,185625,2021,Texas
South,100000,2021,Texas
South,100000,2021,Texas
South,103500,2021,Texas
South,95625,2021,Texas
South,56000,2021,Texas
South,158125,2021,Texas
South,116000,2021,Texas
South,116000,2021,Texas
South,169000,2021,Texas
South,162500,2021,Texas
South,99750,2021,Texas
South,259875,2021,Texas
South,198000,2021,Texas
South,198000,2021,Texas
South,188500,2021,Texas
South,186875,2021,Texas
South,110250,2021,Texas
South,298375,2021,Texas
South,105187.5,2021,Texas
South,35437.5,2021,Texas
South,31500,2021,Texas
South,12000,2021,Texas
Northeast,24062.5,2021,Pennsylvania
Northeast,30375,2021,Pennsylvania
Northeast,117562.5,2021,Pennsylvania
Northeast,19687.5,2021,Pennsylvania
Northeast,24500,2021,Pennsylvania
Northeast,8000,2021,Pennsylvania
Northeast,24062.5,2021,Pennsylvania
Northeast,30375,2021,Pennsylvania
Northeast,122375,2021,Pennsylvania
Northeast,26250,2021,Pennsylvania
Northeast,28000,2021,Pennsylvania
Northeast,4500,2021,Pennsylvania
Northeast,13500,2021,Pennsylvania
Northeast,21875,2021,Pennsylvania
Northeast,112500,2021,Pennsylvania
Northeast,22500,2021,Pennsylvania
Northeast,21000,2021,Pennsylvania
Northeast,11812.5,2021,Pennsylvania
Northeast,13500,2021,Pennsylvania
Northeast,25000,2021,Pennsylvania
Northeast,141000,2021,Pennsylvania
Northeast,31500,2021,Pennsylvania
Northeast,28875,2021,Pennsylvania
Northeast,19250,2021,Pennsylvania
Northeast,24375,2021,Pennsylvania
Northeast,52500,2021,Pennsylvania
Northeast,178750,2021,Pennsylvania
Northeast,52500,2021,Pennsylvania
Northeast,38500,2021,Pennsylvania
Northeast,33000,2021,Pennsylvania
Northeast,34125,2021,Pennsylvania
Northeast,63000,2021,Pennsylvania
Northeast,178750,2021,Pennsylvania
Northeast,63000,2021,Pennsylvania
Northeast,49500,2021,Pennsylvania
Northeast,38500,2021,Pennsylvania
Northeast,45500,2021,Pennsylvania
Northeast,78750,2021,Pennsylvania
Northeast,187687.5,2021,Pennsylvania
Northeast,63000,2021,Pennsylvania
Northeast,49500,2021,Pennsylvania
Northeast,44000,2021,Pennsylvania
Northeast,39812.5,2021,Pennsylvania
Northeast,73500,2021,Pennsylvania
Northeast,154375,2021,Pennsylvania
Northeast,41250,2021,Pennsylvania
Northeast,31500,2021,Pennsylvania
Northeast,27562.5,2021,Pennsylvania
Northeast,20625,2021,Pennsylvania
Northeast,33750,2021,Pennsylvania
Northeast,120000,2021,Pennsylvania
Northeast,33750,2021,Pennsylvania
Northeast,21875,2021,Pennsylvania
Northeast,17500,2021,Pennsylvania
Northeast,18000,2021,Pennsylvania
Northeast,36562.5,2021,Pennsylvania
Northeast,144375,2021,Pennsylvania
Northeast,42000,2021,Pennsylvania
Northeast,46800,2021,Pennsylvania
Northeast,42000,2021,Pennsylvania
Northeast,36750,2021,Pennsylvania
Northeast,56250,2021,Pennsylvania
Northeast,182875,2021,Pennsylvania
Northeast,57750,2021,Pennsylvania
Northeast,54000,2021,Pennsylvania
Northeast,42000,2021,Pennsylvania
Northeast,42875,2021,Pennsylvania
Northeast,61875,2020,Pennsylvania
Northeast,63000,2020,Pennsylvania
Northeast,50625,2020,Pennsylvania
Northeast,81000,2020,Pennsylvania
Northeast,47250,2020,Pennsylvania
West,68750,2020,Nevada
West,42750,2020,Nevada
West,73500,2020,Nevada
West,47812.5,2020,Nevada
West,76500,2020,Nevada
West,43312.5,2020,Nevada
West,55000,2020,Nevada
West,36000,2020,Nevada
West,99000,2020,Nevada
West,55000,2020,Nevada
West,88000,2020,Nevada
West,57750,2020,Nevada
West,57750,2020,Nevada
West,41250,2020,Nevada
West,132000,2020,Nevada
West,56875,2020,Nevada
West,104000,2020,Nevada
West,63000,2020,Nevada
West,71500,2020,Nevada
West,56000,2020,Nevada
West,148500,2020,Nevada
West,78000,2020,Nevada
West,117000,2020,Nevada
West,72000,2020,Nevada
West,78000,2020,Nevada
West,90000,2020,Nevada
West,189000,2020,Nevada
West,107250,2020,Nevada
West,160875,2020,Nevada
West,102000,2020,Nevada
West,117000,2020,Nevada
West,120000,2020,Nevada
West,180000,2020,Nevada
West,97500,2020,Nevada
West,143000,2020,Nevada
West,94500,2020,Nevada
West,178750,2020,Nevada
West,80000,2020,Nevada
West,182000,2020,Nevada
West,113750,2020,Nevada
West,136500,2020,Nevada
West,108062.5,2020,Nevada
West,195937.5,2020,Nevada
West,64000,2020,Nevada
West,126000,2020,Nevada
West,78000,2020,Nevada
West,94500,2020,Nevada
West,72000,2020,Nevada
West,140000,2020,Nevada
West,50625,2020,Nevada
West,115500,2020,Nevada
West,71500,2020,Nevada
West,78750,2020,Nevada
West,63000,2020,Nevada
West,113750,2020,Nevada
West,42187.5,2020,Nevada
West,120750,2020,Nevada
West,74750,2020,Nevada
West,89250,2020,Nevada
West,72000,2020,Nevada
West,122500,2020,Nevada
West,53437.5,2020,Nevada
West,141750,2020,Nevada
West,87750,2020,Nevada
West,99750,2020,Nevada
West,85500,2020,Nevada
West,140000,2020,Nevada
West,56250,2020,Nevada
West,44625,2020,Nevada
West,34000,2020,Nevada
West,59500,2020,Nevada
West,33000,2020,Nevada
West,50625,2020,Colorado
West,28500,2020,Colorado
West,55125,2020,Colorado
West,34000,2020,Colorado
West,59500,2020,Colorado
West,33000,2020,Colorado
West,45000,2020,Colorado
West,24000,2020,Colorado
West,77000,2020,Colorado
West,40000,2020,Colorado
West,77000,2020,Colorado
West,49500,2020,Colorado
West,45000,2020,Colorado
West,28875,2020,Colorado
West,110250,2020,Colorado
West,42250,2020,Colorado
West,85312.5,2020,Colorado
West,49500,2020,Colorado
West,56875,2020,Colorado
West,39000,2020,Colorado
West,157500,2020,Colorado
West,85312.5,2020,Colorado
West,121875,2020,Colorado
West,74250,2020,Colorado
West,73937.5,2020,Colorado
West,114000,2020,Colorado
West,217500,2020,Colorado
West,130812.5,2020,Colorado
West,186875,2020,Colorado
West,131625,2020,Colorado
West,147875,2020,Colorado
West,159375,2020,Colorado
West,226687.5,2020,Colorado
West,131250,2020,Colorado
West,181125,2020,Colorado
West,123500,2020,Colorado
West,220500,2020,Colorado
West,111562.5,2020,Colorado
West,228375,2020,Colorado
West,151875,2020,Colorado
West,173250,2020,Colorado
West,140000,2020,Colorado
West,225000,2020,Colorado
West,80000,2020,Colorado
West,156000,2020,Colorado
West,105000,2020,Colorado
West,117000,2020,Colorado
West,91000,2020,Colorado
West,165000,2020,Colorado
West,59500,2020,Colorado
West,115500,2020,Colorado
West,78750,2020,Colorado
West,77000,2020,Colorado
West,62562.5,2020,Colorado
West,107250,2020,Colorado
West,49000,2020,Colorado
West,126500,2020,Colorado
West,86250,2020,Colorado
West,93500,2020,Colorado
West,91000,2020,Colorado
West,154687.5,2020,Colorado
West,80000,2020,Colorado
West,182000,2020,Colorado
West,122500,2020,Colorado
West,130000,2020,Colorado
West,113750,2020,Colorado
West,175312.5,2020,Colorado
West,84000,2020,Colorado
West,54000,2020,Colorado
West,56250,2020,Colorado
West,56250,2020,Colorado
West,45000,2020,Colorado
West,34375,2020,Washington
West,50000,2020,Washington
West,66000,2020,Washington
West,56250,2020,Washington
West,56250,2020,Washington
West,45000,2020,Washington
West,30937.5,2020,Washington
West,42500,2020,Washington
West,86250,2020,Washington
West,63750,2020,Washington
West,69062.5,2020,Washington
West,63375,2020,Washington
West,30625,2020,Washington
West,48750,2020,Washington
West,115500,2020,Washington
West,65625,2020,Washington
West,75000,2020,Washington
West,54000,2020,Washington
West,32500,2020,Washington
West,56000,2020,Washington
West,99000,2020,Washington
West,65000,2020,Washington
West,65000,2020,Washington
West,54000,2020,Washington
West,32500,2020,Washington
West,80000,2020,Washington
West,168750,2020,Washington
West,125000,2020,Washington
West,125000,2020,Washington
West,120000,2020,Washington
West,79687.5,2020,Washington
West,135000,2020,Washington
West,198000,2020,Washington
West,143437.5,2020,Washington
West,132812.5,2020,Washington
West,126000,2020,Washington
West,122187.5,2020,Washington
West,115000,2020,Washington
West,197625,2020,Washington
West,150000,2020,Washington
West,117187.5,2020,Washington
West,129375,2020,Washington
West,107812.5,2020,Washington
West,64000,2020,Washington
West,126000,2020,Washington
West,112500,2020,Washington
West,78750,2020,Washington
West,84000,2020,Washington
West,85000,2020,Washington
West,58500,2020,Washington
West,99000,2020,Washington
West,89375,2020,Washington
West,56250,2020,Washington
West,63000,2020,Washington
West,56875,2020,Washington
West,56250,2020,Washington
West,108000,2020,Washington
West,101562.5,2020,Washington
West,71250,2020,Washington
West,94500,2020,Washington
West,95625,2020,Washington
West,104500,2020,Washington
West,180000,2020,Washington
West,159375,2020,Washington
West,110000,2020,Washington
West,132000,2020,Washington
West,106875,2020,Washington
West,109250,2020,Washington
West,212625,2020,Washington
West,133875,2020,Washington
West,74375,2020,Washington
West,84000,2020,Washington
Southeast,144375,2020,Florida
Southeast,191250,2020,Florida
Southeast,222750,2020,Florida
Southeast,118125,2020,Florida
Southeast,70000,2020,Florida
Southeast,81000,2020,Florida
Southeast,144375,2020,Florida
Southeast,191250,2020,Florida
Southeast,216675,2020,Florida
Southeast,118125,2020,Florida
Southeast,67812.5,2020,Florida
Southeast,75000,2020,Florida
Southeast,129937.5,2020,Florida
Southeast,174375,2020,Florida
Southeast,207562.5,2020,Florida
Southeast,114187.5,2020,Florida
Southeast,63437.5,2020,Florida
Southeast,78000,2020,Florida
Southeast,129937.5,2020,Florida
Southeast,180000,2020,Florida
Southeast,264825,2020,Florida
Southeast,149187.5,2020,Florida
Southeast,93750,2020,Florida
Southeast,105000,2020,Florida
Southeast,152250,2020,Florida
Southeast,268125,2020,Florida
Southeast,290250,2020,Florida
Southeast,158812.5,2020,Florida
Southeast,100000,2020,Florida
Southeast,116250,2020,Florida
Southeast,176312.5,2020,Florida
Southeast,323750,2020,Florida
Southeast,336375,2020,Florida
Southeast,189000,2020,Florida
Southeast,113437.5,2020,Florida
Southeast,127875,2020,Florida
Southeast,182000,2020,Florida
Southeast,341250,2020,Florida
Southeast,329062.5,2020,Florida
Southeast,189000,2020,Florida
Southeast,113437.5,2020,Florida
Southeast,104625,2020,Florida
Southeast,144375,2020,Florida
Southeast,277500,2020,Florida
Southeast,259875,2020,Florida
Southeast,148750,2020,Florida
Southeast,84375,2020,Florida
Southeast,97875,2020,Florida
Southeast,139562.5,2020,Florida
Southeast,247500,2020,Florida
Southeast,270000,2020,Florida
Southeast,144375,2020,Florida
Southeast,90625,2020,Florida
Southeast,105000,2020,Florida
Southeast,147000,2020,Florida
Southeast,268125,2020,Florida
Southeast,263250,2020,Florida
Southeast,140000,2020,Florida
Southeast,93125,2020,Florida
Southeast,116250,2020,Florida
Southeast,170625,2020,Florida
Southeast,297500,2020,Florida
Southeast,314437.5,2020,Florida
Southeast,168437.5,2020,Florida
Southeast,113437.5,2020,Florida
Southeast,127875,2020,Florida
Southeast,176312.5,2020,Florida
Southeast,306250,2020,Florida
Southeast,55125,2020,Florida
Southeast,26250,2020,Florida
Southeast,18750,2020,Florida
Southeast,10500,2020,Florida
Midwest,20250,2020,Minnesota
Midwest,39375,2020,Minnesota
Midwest,61250,2020,Minnesota
Midwest,15750,2020,Minnesota
Midwest,15000,2020,Minnesota
Midwest,7875,2020,Minnesota
Midwest,20250,2020,Minnesota
Midwest,35437.5,2020,Minnesota
Midwest,62300,2020,Minnesota
Midwest,15000,2020,Minnesota
Midwest,15750,2020,Minnesota
Midwest,3062.5,2020,Minnesota
Midwest,11250,2020,Minnesota
Midwest,31500,2020,Minnesota
Midwest,56000,2020,Minnesota
Midwest,12000,2020,Minnesota
Midwest,9000,2020,Minnesota
Midwest,3062.5,2020,Minnesota
Midwest,7500,2020,Minnesota
Midwest,31500,2020,Minnesota
Midwest,77875,2020,Minnesota
Midwest,20250,2020,Minnesota
Midwest,15000,2020,Minnesota
Midwest,7000,2020,Minnesota
Midwest,12375,2020,Minnesota
Midwest,47250,2020,Minnesota
Midwest,66937.5,2020,Minnesota
Midwest,21000,2020,Minnesota
Midwest,18375,2020,Minnesota
Midwest,18375,2020,Minnesota
Midwest,22500,2020,Minnesota
Midwest,80437.5,2020,Minnesota
Midwest,96250,2020,Minnesota
Midwest,40500,2020,Minnesota
Midwest,27000,2020,Minnesota
Midwest,24500,2020,Minnesota
Midwest,30000,2020,Minnesota
Midwest,92812.5,2020,Minnesota
Midwest,91875,2020,Minnesota
Midwest,40500,2020,Minnesota
Midwest,27000,2020,Minnesota
Midwest,21437.5,2020,Minnesota
Midwest,20250,2020,Minnesota
Midwest,73125,2020,Minnesota
Midwest,70875,2020,Minnesota
Midwest,30000,2020,Minnesota
Midwest,11250,2020,Minnesota
Midwest,10937.5,2020,Minnesota
Midwest,13125,2020,Minnesota
Midwest,36000,2020,Minnesota
Midwest,59062.5,2020,Minnesota
Midwest,21000,2020,Minnesota
Midwest,10500,2020,Minnesota
Midwest,9187.5,2020,Minnesota
Midwest,10125,2020,Minnesota
Midwest,45000,2020,Minnesota
Midwest,61250,2020,Minnesota
Midwest,24000,2020,Minnesota
Midwest,17400,2020,Minnesota
Midwest,21000,2020,Minnesota
Midwest,20625,2020,Minnesota
Midwest,60750,2020,Minnesota
Midwest,91437.5,2020,Minnesota
Midwest,37125,2020,Minnesota
Midwest,30375,2020,Minnesota
Midwest,27562.5,2020,Minnesota
Midwest,28875,2020,Minnesota
Midwest,74250,2020,Minnesota
Midwest,74812.5,2020,Minnesota
Midwest,64125,2020,Minnesota
Midwest,96187.5,2020,Minnesota
Midwest,58500,2020,Minnesota
Midwest,82500,2021,Montana
Midwest,53437.5,2021,Montana
Midwest,82687.5,2021,Montana
Midwest,57375,2021,Montana
Midwest,91125,2021,Montana
Midwest,54000,2021,Montana
Midwest,67500,2021,Montana
Midwest,47812.5,2021,Montana
Midwest,90562.5,2021,Montana
Midwest,57375,2021,Montana
Midwest,86062.5,2021,Montana
Midwest,58500,2021,Montana
Midwest,60000,2021,Montana
Midwest,45000,2021,Montana
Midwest,116437.5,2021,Montana
Midwest,50625,2021,Montana
Midwest,81000,2021,Montana
Midwest,48000,2021,Montana
Midwest,54000,2021,Montana
Midwest,56250,2021,Montana
Midwest,103500,2021,Montana
Midwest,57375,2021,Montana
Midwest,86062.5,2021,Montana
Midwest,52000,2021,Montana
Midwest,60750,2021,Montana
Midwest,60000,2021,Montana
Midwest,121500,2021,Montana
Midwest,70875,2021,Montana
Midwest,111375,2021,Montana
Midwest,68000,2021,Montana
Midwest,81000,2021,Montana
Midwest,90000,2021,Montana
Midwest,135000,2021,Montana
Midwest,81000,2021,Montana
Midwest,111375,2021,Montana
Midwest,72000,2021,Montana
Midwest,128250,2021,Montana
Midwest,71250,2021,Montana
Midwest,136687.5,2021,Montana
Midwest,103125,2021,Montana
Midwest,112500,2021,Montana
Midwest,76500,2021,Montana
Midwest,140250,2021,Montana
Midwest,60000,2021,Montana
Midwest,121500,2021,Montana
Midwest,90000,2021,Montana
Midwest,91125,2021,Montana
Midwest,72000,2021,Montana
Midwest,132000,2021,Montana
Midwest,67500,2021,Montana
Midwest,111375,2021,Montana
Midwest,82500,2021,Montana
Midwest,81000,2021,Montana
Midwest,67500,2021,Montana
Midwest,115500,2021,Montana
Midwest,60000,2021,Montana
Midwest,103500,2021,Montana
Midwest,77625,2021,Montana
Midwest,76500,2021,Montana
Midwest,68000,2021,Montana
Midwest,123750,2021,Montana
Midwest,71250,2021,Montana
Midwest,136687.5,2021,Montana
Midwest,101250,2021,Montana
Midwest,96187.5,2021,Montana
Midwest,85500,2021,Montana
Midwest,132000,2021,Montana
Midwest,75000,2021,Montana
Midwest,49000,2021,Montana
Midwest,73500,2021,Montana
Midwest,52500,2021,Montana
Midwest,78750,2021,Montana
South,42000,2021,Tennessee
South,87500,2021,Tennessee
South,56875,2021,Tennessee
South,76562.5,2021,Tennessee
South,55125,2021,Tennessee
South,63000,2021,Tennessee
South,33000,2021,Tennessee
South,83125,2021,Tennessee
South,78000,2021,Tennessee
South,104000,2021,Tennessee
South,57000,2021,Tennessee
South,65625,2021,Tennessee
South,38500,2021,Tennessee
South,81812.5,2021,Tennessee
South,54000,2021,Tennessee
South,67500,2021,Tennessee
South,40000,2021,Tennessee
South,50000,2021,Tennessee
South,31500,2021,Tennessee
South,79062.5,2021,Tennessee
South,43500,2021,Tennessee
South,75000,2021,Tennessee
South,48000,2021,Tennessee
South,78750,2021,Tennessee
South,66937.5,2021,Tennessee
South,170500,2021,Tennessee
South,124000,2021,Tennessee
South,139500,2021,Tennessee
South,104000,2021,Tennessee
South,120000,2021,Tennessee
South,78750,2021,Tennessee
South,240625,2021,Tennessee
South,148500,2021,Tennessee
South,167062.5,2021,Tennessee
South,175500,2021,Tennessee
South,126500,2021,Tennessee
South,99000,2021,Tennessee
South,272250,2021,Tennessee
South,156937.5,2021,Tennessee
South,191812.5,2021,Tennessee
South,213750,2021,Tennessee
South,117562.5,2021,Tennessee
South,95000,2021,Tennessee
South,239250,2021,Tennessee
South,151875,2021,Tennessee
South,140625,2021,Tennessee
South,167062.5,2021,Tennessee
South,121000,2021,Tennessee
South,80000,2021,Tennessee
South,168750,2021,Tennessee
South,90562.5,2021,Tennessee
South,90562.5,2021,Tennessee
South,94500,2021,Tennessee
South,82500,2021,Tennessee
South,49000,2021,Tennessee
South,141750,2021,Tennessee
South,91125,2021,Tennessee
South,91125,2021,Tennessee
South,148500,2021,Tennessee
South,143687.5,2021,Tennessee
South,99000,2021,Tennessee
South,253500,2021,Tennessee
South,198000,2021,Tennessee
South,198000,2021,Tennessee
South,189000,2021,Tennessee
