sales,date
97500,Aug-21
87500,Aug-21
90000,Aug-21
162500,Aug-21
300000,Aug-21
150000,Aug-21
125000,Aug-21
100000,Aug-21
120000,Aug-21
195000,Aug-21
145000,Aug-21
217500,Aug-21
157500,Aug-21
183750,Aug-21
150000,Aug-21
183750,Aug-21
168750,Aug-21
227500,Aug-21
166250,Aug-21
148750,Aug-21
120000,Aug-21
175000,Aug-21
202500,Aug-21
270000,Aug-21
150000,Aug-21
140000,Aug-21
120000,Aug-21
157500,Aug-21
140000,Aug-21
210000,Aug-21
131250,Aug-21
127500,Sep-21
113750,Sep-21
180000,Sep-21
150000,Sep-21
232500,Sep-21
156250,Sep-21
192500,Sep-21
225000,Sep-21
360000,Sep-21
360000,Sep-21
400000,Sep-21
292500,Sep-21
270000,Sep-21
250000,Sep-21
481250,Sep-21
371250,Sep-21
412500,Sep-21
438750,Sep-21
258750,Sep-21
287500,Sep-21
510000,Sep-21
400000,Sep-21
440000,Sep-21
487500,Sep-21
262500,Sep-21
288750,Sep-21
465000,Sep-21
398750,Sep-21
371250,Sep-21
435000,Sep-21
270000,Oct-21
247500,Oct-21
337500,Oct-21
250000,Oct-21
250000,Oct-21
258750,Oct-21
191250,Oct-21
160000,Oct-21
287500,Oct-21
290000,Oct-21
290000,Oct-21
422500,Oct-21
325000,Oct-21
285000,Oct-21
472500,Oct-21
495000,Oct-21
495000,Oct-21
471250,Oct-21
373750,Oct-21
315000,Oct-21
542500,Oct-21
191250,Oct-21
101250,Oct-21
78750,Oct-21
30000,Oct-21
68750,Oct-21
101250,Oct-21
213750,Oct-21
56250,Oct-21
61250,Oct-21
20000,Oct-21
68750,Nov-21
101250,Nov-21
222500,Nov-21
75000,Nov-21
70000,Nov-21
11250,Nov-21
45000,Nov-21
87500,Nov-21
225000,Nov-21
75000,Nov-21
60000,Nov-21
33750,Nov-21
45000,Nov-21
100000,Nov-21
282000,Nov-21
105000,Nov-21
82500,Nov-21
55000,Nov-21
81250,Nov-21
175000,Nov-21
325000,Nov-21
150000,Nov-21
96250,Nov-21
82500,Nov-21
97500,Nov-21
210000,Nov-21
325000,Nov-21
180000,Nov-21
123750,Nov-21
96250,Nov-21
130000,Dec-21
262500,Dec-21
341250,Dec-21
180000,Dec-21
123750,Dec-21
110000,Dec-21
113750,Dec-21
245000,Dec-21
308750,Dec-21
137500,Dec-21
90000,Dec-21
78750,Dec-21
68750,Dec-21
135000,Dec-21
240000,Dec-21
112500,Dec-21
62500,Dec-21
50000,Dec-21
60000,Dec-21
146250,Dec-21
262500,Dec-21
120000,Dec-21
117000,Dec-21
105000,Dec-21
105000,Dec-21
187500,Dec-21
332500,Dec-21
165000,Dec-21
135000,Dec-21
105000,Dec-21
122500,Dec-21
206250,Jan-20
157500,Jan-20
202500,Jan-20
202500,Jan-20
135000,Jan-20
125000,Jan-20
213750,Jan-20
183750,Jan-20
191250,Jan-20
191250,Jan-20
123750,Jan-20
100000,Jan-20
180000,Jan-20
247500,Jan-20
220000,Jan-20
220000,Jan-20
165000,Jan-20
105000,Jan-20
206250,Jan-20
330000,Jan-20
227500,Jan-20
260000,Jan-20
180000,Jan-20
130000,Jan-20
280000,Jan-20
330000,Jan-20
260000,Jan-20
260000,Jan-20
180000,Jan-20
130000,Jan-20
360000,Jan-20
420000,Feb-20
357500,Feb-20
357500,Feb-20
255000,Feb-20
195000,Feb-20
480000,Feb-20
450000,Feb-20
390000,Feb-20
357500,Feb-20
270000,Feb-20
325000,Feb-20
400000,Feb-20
455000,Feb-20
455000,Feb-20
341250,Feb-20
308750,Feb-20
356250,Feb-20
320000,Feb-20
360000,Feb-20
390000,Feb-20
270000,Feb-20
240000,Feb-20
280000,Feb-20
337500,Feb-20
330000,Feb-20
357500,Feb-20
225000,Feb-20
210000,Feb-20
227500,Mar-20
281250,Mar-20
345000,Mar-20
373750,Mar-20
255000,Mar-20
240000,Mar-20
245000,Mar-20
356250,Mar-20
405000,Mar-20
438750,Mar-20
285000,Mar-20
285000,Mar-20
280000,Mar-20
375000,Mar-20
127500,Mar-20
170000,Mar-20
170000,Mar-20
110000,Mar-20
101250,Mar-20
190000,Mar-20
157500,Mar-20
170000,Mar-20
170000,Mar-20
110000,Mar-20
90000,Mar-20
160000,Mar-20
220000,Mar-20
200000,Mar-20
220000,Mar-20
165000,Mar-20
90000,Mar-20
192500,Apr-20
315000,Apr-20
211250,Apr-20
243750,Apr-20
165000,Apr-20
113750,Apr-20
260000,Apr-20
315000,Apr-20
243750,Apr-20
243750,Apr-20
165000,Apr-20
113750,Apr-20
380000,Apr-20
435000,Apr-20
373750,Apr-20
373750,Apr-20
292500,Apr-20
227500,Apr-20
531250,Apr-20
503750,Apr-20
437500,Apr-20
402500,Apr-20
308750,Apr-20
367500,Apr-20
446250,Apr-20
507500,Apr-20
506250,Apr-20
385000,Apr-20
350000,Apr-20
375000,Apr-20
320000,May-20
390000,May-20
420000,May-20
292500,May-20
260000,May-20
300000,May-20
297500,May-20
288750,May-20
315000,May-20
192500,May-20
178750,May-20
195000,May-20
245000,May-20
316250,May-20
345000,May-20
233750,May-20
260000,May-20
281250,May-20
400000,May-20
455000,May-20
490000,May-20
325000,May-20
325000,May-20
318750,May-20
420000,May-20
180000,May-20
225000,May-20
225000,May-20
150000,May-20
137500,May-20
250000,May-20
220000,Jun-20
225000,Jun-20
225000,Jun-20
150000,Jun-20
123750,Jun-20
212500,Jun-20
287500,Jun-20
255000,Jun-20
276250,Jun-20
211250,Jun-20
122500,Jun-20
243750,Jun-20
385000,Jun-20
262500,Jun-20
300000,Jun-20
180000,Jun-20
130000,Jun-20
280000,Jun-20
330000,Jun-20
260000,Jun-20
260000,Jun-20
180000,Jun-20
130000,Jun-20
400000,Jun-20
562500,Jun-20
500000,Jun-20
500000,Jun-20
400000,Jun-20
318750,Jun-20
675000,Jun-20
660000,Jul-20
573750,Jul-20
531250,Jul-20
420000,Jul-20
488750,Jul-20
575000,Jul-20
658750,Jul-20
600000,Jul-20
468750,Jul-20
431250,Jul-20
431250,Jul-20
320000,Jul-20
420000,Jul-20
450000,Jul-20
315000,Jul-20
280000,Jul-20
340000,Jul-20
292500,Jul-20
330000,Jul-20
357500,Jul-20
225000,Jul-20
210000,Jul-20
227500,Jul-20
281250,Jul-20
360000,Jul-20
406250,Jul-20
285000,Jul-20
315000,Jul-20
382500,Jul-20
522500,Jul-20
600000,Jul-20
637500,Aug-20
440000,Aug-20
440000,Aug-20
427500,Aug-20
546250,Aug-20
472500,Aug-20
382500,Aug-20
297500,Aug-20
280000,Aug-20
412500,Aug-20
382500,Aug-20
495000,Aug-20
337500,Aug-20
280000,Aug-20
270000,Aug-20
412500,Aug-20
382500,Aug-20
481500,Aug-20
337500,Aug-20
271250,Aug-20
250000,Aug-20
371250,Aug-20
348750,Aug-20
461250,Apr-20
326250,Apr-20
253750,Apr-20
260000,Apr-20
371250,Apr-20
360000,Apr-20
588500,Apr-20
426250,Apr-20
375000,Apr-20
350000,Apr-20
435000,Apr-20
536250,Apr-20
645000,Apr-20
453750,Apr-20
400000,Sep-20
387500,Sep-20
503750,Sep-20
647500,Sep-20
747500,Sep-20
540000,Sep-20
453750,Sep-20
426250,Sep-20
520000,Sep-20
682500,Sep-20
731250,Sep-20
540000,Sep-20
453750,Sep-20
348750,Sep-20
412500,Sep-20
555000,Sep-20
577500,Sep-20
425000,Sep-20
337500,Sep-20
326250,Sep-20
398750,Sep-20
495000,Sep-20
600000,Sep-20
412500,Sep-20
362500,Oct-20
350000,Oct-20
420000,Oct-20
536250,Oct-20
585000,Oct-20
400000,Oct-20
372500,Oct-20
387500,Oct-20
487500,Oct-20
595000,Oct-20
698750,May-20
481250,May-20
453750,May-20
426250,May-20
503750,May-20
612500,May-20
157500,Oct-20
87500,Oct-20
62500,Oct-20
30000,Oct-20
67500,Oct-20
87500,Oct-20
175000,Oct-20
52500,Oct-20
50000,Oct-20
22500,Oct-20
67500,Oct-20
78750,Oct-20
178000,Oct-20
50000,Oct-20
52500,Oct-20
8750,Nov-20
37500,Nov-20
70000,Nov-20
160000,Nov-20
40000,Nov-20
30000,Nov-20
8750,Nov-20
25000,Nov-20
70000,Nov-20
222500,Nov-20
67500,Nov-20
50000,Nov-20
20000,Nov-20
41250,Nov-20
105000,Nov-20
191250,Nov-20
70000,Nov-20
61250,Nov-20
52500,Nov-20
75000,Nov-20
178750,Nov-20
275000,Nov-20
135000,Nov-20
90000,Nov-20
70000,Nov-20
100000,Nov-20
206250,Nov-20
262500,Nov-20
135000,Nov-20
90000,Nov-20
61250,Dec-20
67500,Dec-20
162500,Dec-20
202500,Dec-20
100000,Dec-20
37500,Dec-20
31250,Dec-20
43750,Dec-20
80000,Dec-20
168750,Dec-20
70000,Dec-20
35000,Dec-20
26250,Dec-20
33750,Dec-20
100000,Dec-20
175000,Dec-20
80000,Dec-20
58000,Dec-20
60000,Dec-20
68750,Dec-20
135000,Dec-20
261250,Dec-20
123750,Dec-20
101250,Dec-20
78750,Dec-20
96250,Dec-20
165000,Dec-20
166250,Dec-20
213750,Dec-20
213750,Dec-20
146250,Dec-20
137500,Jan-21
213750,Jan-21
183750,Jan-21
191250,Jan-21
202500,Jan-21
135000,Jan-21
112500,Jan-21
191250,Jan-21
201250,Jan-21
191250,Jan-21
191250,Jan-21
146250,Jan-21
100000,Jan-21
180000,Jan-21
258750,Jan-21
168750,Jan-21
180000,Jan-21
120000,Jan-21
90000,Jan-21
225000,Jan-21
230000,Jan-21
191250,Jan-21
191250,Jan-21
130000,Jan-21
101250,Jan-21
240000,Jan-21
270000,Jan-21
236250,Jan-21
247500,Jan-21
170000,Jan-21
135000,Jan-21
360000,Feb-21
300000,Feb-21
270000,Feb-21
247500,Feb-21
180000,Feb-21
213750,Feb-21
285000,Feb-21
303750,Feb-21
343750,Feb-21
250000,Feb-21
191250,Feb-21
233750,Feb-21
240000,Feb-21
270000,Feb-21
300000,Feb-21
202500,Feb-21
180000,Feb-21
220000,Feb-21
270000,Feb-21
247500,Feb-21
275000,Feb-21
180000,Feb-21
168750,Feb-21
192500,Feb-21
240000,Feb-21
230000,Feb-21
258750,Feb-21
170000,Feb-21
170000,Mar-21
206250,Mar-21
285000,Mar-21
303750,Mar-21
337500,Mar-21
213750,Mar-21
213750,Mar-21
220000,Mar-21
300000,Mar-21
140000,Mar-21
210000,Mar-21
150000,Mar-21
175000,Mar-21
140000,Mar-21
175000,Mar-21
162500,Mar-21
218750,Mar-21
157500,Mar-21
140000,Mar-21
110000,Mar-21
166250,Mar-21
195000,Mar-21
260000,Mar-21
142500,Mar-21
131250,Mar-21
110000,Mar-21
148750,Mar-21
135000,Mar-21
168750,Mar-21
100000,Mar-21
100000,Mar-21
90000,Apr-21
143750,Apr-21
108750,Apr-21
187500,Apr-21
120000,Apr-21
157500,Apr-21
191250,Apr-21
310000,Apr-21
310000,Apr-21
348750,Apr-21
260000,Apr-21
240000,Apr-21
225000,Apr-21
437500,Apr-21
330000,Apr-21
371250,Apr-21
390000,Apr-21
230000,Apr-21
247500,Apr-21
453750,Apr-21
348750,Apr-21
426250,Apr-21
475000,Apr-21
213750,Apr-21
237500,Apr-21
398750,Apr-21
337500,Apr-21
312500,Apr-21
371250,Apr-21
220000,Apr-21
200000,May-21
281250,May-21
201250,May-21
201250,May-21
210000,May-21
150000,May-21
122500,May-21
236250,May-21
202500,May-21
202500,May-21
330000,May-21
261250,May-21
247500,May-21
422500,May-21
440000,May-21
440000,May-21
420000,May-21
330000,May-21
275000,May-21
487500,May-21
148750,May-21
78750,May-21
56250,May-21
22500,May-21
56250,May-21
78750,May-21
166250,May-21
43750,May-21
43750,May-21
15000,May-21
56250,May-21
70000,Jun-21
168000,Jun-21
40000,Jun-21
45000,Jun-21
0,Jun-21
25000,Jun-21
60000,Jun-21
150000,Jun-21
26250,Jun-21
18750,Jun-21
0,Jun-21
11250,Jun-21
52500,Jun-21
189000,Jun-21
50000,Jun-21
35000,Jun-21
8750,Jun-21
25000,Jun-21
82500,Jun-21
160000,Jun-21
52500,Jun-21
52500,Jun-21
45000,Jun-21
67500,Jun-21
162500,Jun-21
247500,Jun-21
120000,Jun-21
78750,Jun-21
61250,Jun-21
78750,Jun-21
175000,Jul-21
225000,Jul-21
123750,Jul-21
80000,Jul-21
37500,Jul-21
40000,Jul-21
123750,Jul-21
160000,Jul-21
70000,Jul-21
20000,Jul-21
15000,Jul-21
22500,Jul-21
52500,Jul-21
130000,Jul-21
45000,Jul-21
15000,Jul-21
7500,Jul-21
10000,Jul-21
67500,Jul-21
120000,Jul-21
45000,Jul-21
28500,Jul-21
37500,Jul-21
50000,Jul-21
110000,Jul-21
225000,Jul-21
100000,Jul-21
80000,Jul-21
60000,Jul-21
75000,Jul-21
137500,Jul-21
135000,Aug-21
202500,Aug-21
142500,Aug-21
166250,Aug-21
130000,Aug-21
166250,Aug-21
156250,Aug-21
210000,Aug-21
148750,Aug-21
131250,Aug-21
100000,Aug-21
157500,Aug-21
187500,Aug-21
250000,Aug-21
135000,Aug-21
122500,Aug-21
100000,Aug-21
140000,Aug-21
130000,Aug-21
130000,Aug-21
71250,Aug-21
75000,Aug-21
68750,Aug-21
110000,Aug-21
70000,Aug-21
145000,Aug-21
86250,Aug-21
175000,Aug-21
200000,Aug-21
337500,Aug-21
337500,Aug-21
375000,Sep-21
292500,Sep-21
270000,Sep-21
250000,Sep-21
481250,Sep-21
371250,Sep-21
412500,Sep-21
438750,Sep-21
258750,Sep-21
262500,Sep-21
480000,Sep-21
300000,Sep-21
412500,Sep-21
508750,Sep-21
212500,Sep-21
233750,Sep-21
405000,Sep-21
343750,Sep-21
316250,Sep-21
375000,Sep-21
210000,Sep-21
157500,Sep-21
230000,Sep-21
157500,Sep-21
157500,Sep-21
166250,Sep-21
113750,Sep-21
90000,Sep-21
190000,Sep-21
125000,Sep-21
125000,Oct-21
258750,Oct-21
202500,Oct-21
212500,Oct-21
375000,Oct-21
465000,Oct-21
465000,Oct-21
455000,Oct-21
357500,Oct-21
300000,Oct-21
525000,Oct-21
180000,Oct-21
100000,Oct-21
75000,Oct-21
35000,Oct-21
75000,Oct-21
100000,Oct-21
200000,Oct-21
60000,Oct-21
60000,Oct-21
26250,Oct-21
75000,Oct-21
100000,Oct-21
188000,Oct-21
70000,Oct-21
60000,Oct-21
17500,Oct-21
50000,Oct-21
80000,Oct-21
180000,Oct-21
60000,Oct-21
45000,Nov-21
26250,Nov-21
37500,Nov-21
90000,Nov-21
272250,Nov-21
100000,Nov-21
78750,Nov-21
56250,Nov-21
82500,Nov-21
165000,Nov-21
288750,Nov-21
137500,Nov-21
90000,Nov-21
78750,Nov-21
96250,Nov-21
195000,Nov-21
302500,Nov-21
150000,Nov-21
101250,Nov-21
78750,Nov-21
110000,Nov-21
225000,Dec-21
288750,Dec-21
150000,Dec-21
101250,Dec-21
78750,Dec-21
82500,Dec-21
195000,Dec-21
247500,Dec-21
125000,Dec-21
67500,Dec-21
56250,Dec-21
68750,Dec-21
135000,Sep-21
240000,Oct-21
123750,Oct-21
68750,Oct-21
55000,Oct-21
65000,Oct-21
157500,Oct-21
243750,Nov-21
110000,Nov-21
107250,Nov-21
96250,Nov-21
97500,Nov-21
175000,Nov-21
308750,Dec-21
151250,Dec-21
137500,Dec-21
110000,Dec-21
130000,Dec-21
210000,Dec-21
131250,Jan-21
168750,Jan-21
168750,Jan-21
101250,Jan-21
165000,Jan-21
316250,Feb-21
123750,Feb-21
123750,Feb-21
87500,Feb-21
162500,Feb-21
192500,Feb-21
299750,Mar-21
137500,Mar-21
123750,Mar-21
62500,Mar-21
113750,Mar-21
151250,Mar-21
288750,Apr-21
123750,Apr-21
101250,Apr-21
75000,Apr-21
90000,Apr-21
150000,Apr-21
370500,May-21
165000,May-21
165000,May-21
137500,May-21
178750,May-21
280000,May-21
422500,Jun-21
240000,Jun-21
178750,Jun-21
165000,Jun-21
195000,Jun-21
315000,Jun-21
438750,Jul-21
255000,Jul-21
192500,Jul-21
165000,Jul-21
211250,Jul-21
350000,Jul-21
422500,Aug-21
255000,Aug-21
192500,Aug-21
137500,Aug-21
146250,Aug-21
280000,Aug-21
341250,Sep-21
195000,Sep-21
123750,Sep-21
110000,Sep-21
130000,Sep-21
210000,Sep-21
315000,Oct-21
178750,Oct-21
113750,Oct-21
97500,Oct-21
112500,Oct-21
220000,Oct-21
318750,Nov-21
195000,Nov-21
208000,Nov-21
195000,Nov-21
206250,Nov-21
300000,Nov-21
450000,Dec-21
260000,Dec-21
131250,Jan-21
168750,Jan-21
168750,Jan-21
101250,Jan-21
87500,Jan-21
191250,Jan-21
166250,Feb-21
168750,Feb-21
168750,Feb-21
101250,Feb-21
75000,Feb-21
157500,Feb-21
225000,Mar-21
192500,Mar-21
225000,Mar-21
151250,Mar-21
75000,Mar-21
178750,Mar-21
300000,Apr-21
195000,Apr-21
227500,Apr-21
125000,Apr-21
82500,Apr-21
227500,Apr-21
288750,May-21
225000,May-21
225000,May-21
151250,May-21
105000,May-21
356250,May-21
507500,Jun-21
450000,Jun-21
450000,Jun-21
356250,Jun-21
297500,Jun-21
650000,Jun-21
640000,Jul-21
552500,Jul-21
510000,Jul-21
400000,Jul-21
467500,Jul-21
550000,Jul-21
637500,Aug-21
543750,Aug-21
420000,Aug-21
367500,Aug-21
367500,Aug-21
262500,Aug-21
357500,Sep-21
385000,Sep-21
243750,Sep-21
211250,Sep-21
262500,Sep-21
225000,Sep-21
261250,Oct-21
308750,Oct-21
180000,Oct-21
151250,Oct-21
162500,Oct-21
210000,Oct-21
288750,Nov-21
360000,Nov-21
233750,Nov-21
260000,Nov-21
318750,Nov-21
450000,Nov-21
525000,Dec-21
595000,Dec-21
400000,Dec-21
400000,Dec-21
382500,Dec-21
498750,Dec-21
170000,Jan-21
212500,Jan-21
212500,Jan-21
137500,Jan-21
123750,Jan-21
237500,Jan-21
210000,Feb-21
212500,Feb-21
212500,Feb-21
137500,Feb-21
110000,Feb-21
200000,Feb-21
275000,Mar-21
240000,Mar-21
276250,Mar-21
195000,Mar-21
113750,Mar-21
225000,Mar-21
357500,Apr-21
245000,Apr-21
280000,Apr-21
165000,Apr-21
120000,Apr-21
281250,Apr-21
345000,May-21
276250,May-21
276250,May-21
195000,May-21
123750,May-21
402500,May-21
536250,Jun-21
490000,Jun-21
595000,Jun-21
488750,Jun-21
427500,Jun-21
825000,Jun-21
810000,Jul-21
712500,Jul-21
665000,Jul-21
540000,Jul-21
617500,Jul-21
715000,Jul-21
807500,Aug-21
701250,Aug-21
560000,Aug-21
380000,Aug-21
380000,Aug-21
255000,Aug-21
300000,Sep-21
325000,Sep-21
180000,Sep-21
150000,Sep-21
192500,Sep-21
165000,Sep-21
200000,Oct-21
373750,Oct-21
240000,Oct-21
206250,Oct-21
227500,Oct-21
280000,Oct-21
343750,Nov-21
420000,Nov-21
288750,Nov-21
325000,Nov-21
403750,Nov-21
540000,Nov-21
600000,Dec-21
680000,Dec-21
480000,Dec-21
480000,Dec-21
472500,Dec-21
593750,Dec-21
382500,Jan-21
292500,Jan-21
227500,Jan-21
200000,Jan-21
302500,Jan-21
292500,Jan-21
405000,Feb-21
247500,Feb-21
210000,Feb-21
190000,Feb-21
302500,Feb-21
292500,Feb-21
391500,Mar-21
247500,Mar-21
201250,Mar-21
170000,Mar-21
261250,Mar-21
258750,Mar-21
371250,Apr-21
236250,Apr-21
183750,Apr-21
180000,Apr-21
261250,Apr-21
270000,Apr-21
478500,May-21
316250,May-21
275000,May-21
250000,May-21
315000,May-21
406250,May-21
525000,Jun-21
343750,Jun-21
300000,Jun-21
287500,Jun-21
373750,Jun-21
507500,Jun-21
617500,Jul-21
420000,Jul-21
343750,Jul-21
316250,Jul-21
390000,Jul-21
542500,Jul-21
601250,Aug-21
420000,Aug-21
343750,Aug-21
258750,Aug-21
302500,Aug-21
435000,Aug-21
467500,Sep-21
325000,Sep-21
247500,Sep-21
236250,Sep-21
288750,Sep-21
375000,Sep-21
480000,Oct-21
312500,Oct-21
262500,Oct-21
250000,Oct-21
300000,Oct-21
406250,Oct-21
465000,Nov-21
300000,Nov-21
272500,Nov-21
287500,Nov-21
357500,Nov-21
455000,Nov-21
568750,Dec-21
371250,Dec-21
343750,Dec-21
316250,Dec-21
373750,Dec-21
472500,Dec-21
320000,Jan-21
240000,Jan-21
180000,Jan-21
157500,Jan-21
250000,Jan-21
240000,Jan-21
340000,Feb-21
200000,Feb-21
165000,Feb-21
148750,Feb-21
250000,Feb-21
240000,Feb-21
328000,Mar-21
210000,Mar-21
165000,Mar-21
140000,Mar-21
225000,Mar-21
220000,Mar-21
320000,Apr-21
200000,Apr-21
150000,Apr-21
148750,Apr-21
212500,Apr-21
220000,Apr-21
410000,May-21
236250,May-21
200000,May-21
180000,May-21
237500,May-21
330000,May-21
425000,Jun-21
270000,Jun-21
210000,Jun-21
200000,Jun-21
250000,Jun-21
357500,Jun-21
437500,Jul-21
281250,Jul-21
220000,Jul-21
200000,Jul-21
262500,Jul-21
385000,Jul-21
425000,Aug-21
281250,Aug-21
220000,Aug-21
210000,Aug-21
250000,Aug-21
371250,Aug-21
400000,Sep-21
270000,Sep-21
210000,Sep-21
200000,Sep-21
250000,Sep-21
330000,Sep-21
426250,Oct-21
270000,Oct-21
225000,Oct-21
213750,Oct-21
261250,Oct-21
360000,Oct-21
412500,Nov-21
258750,Nov-21
234000,Nov-21
225000,Nov-21
261250,Nov-21
345000,Nov-21
440000,Dec-21
270000,Dec-21
247500,Dec-21
225000,Dec-21
275000,Dec-21
360000,Dec-21
105000,Jan-21
140000,Jan-21
140000,Jan-21
80000,Jan-21
67500,Jan-21
160000,Jan-21
135000,Feb-21
140000,Feb-21
140000,Feb-21
