Region,Operating Profit,Year
Midwest,43750,2021
Midwest,34125,2021
Midwest,35000,2021
Midwest,31500,2021
Midwest,81250,2021
Midwest,120000,2021
Midwest,52500,2021
Midwest,43750,2021
Midwest,40000,2021
Midwest,42000,2021
Midwest,97500,2021
Midwest,43500,2021
Midwest,65250,2021
Midwest,47250,2021
Midwest,73500,2021
South,37500,2021
South,82687.5,2021
South,50625,2021
South,68250,2021
South,49875,2021
South,59500,2021
South,30000,2021
South,78750,2021
South,70875,2021
South,94500,2021
South,52500,2021
South,63000,2021
South,36000,2021
South,78750,2021
South,49000,2021
South,73500,2021
South,45937.5,2021
South,57375,2021
South,34125,2021
South,90000,2021
South,52500,2021
South,81375,2021
South,54687.5,2021
South,86625,2021
South,67500,2021
South,180000,2021
South,126000,2021
South,140000,2021
South,102375,2021
South,121500,2021
South,75000,2021
South,240625,2021
South,148500,2021
South,165000,2021
South,175500,2021
South,129375,2021
South,100625,2021
South,280500,2021
South,160000,2021
South,176000,2021
South,195000,2021
South,131250,2021
South,101062.5,2021
South,255750,2021
South,159500,2021
South,148500,2021
South,174000,2021
South,135000,2021
South,86625,2021
South,185625,2021
South,100000,2021
South,100000,2021
South,103500,2021
South,95625,2021
South,56000,2021
South,158125,2021
South,116000,2021
South,116000,2021
South,169000,2021
South,162500,2021
South,99750,2021
South,259875,2021
South,198000,2021
South,198000,2021
South,188500,2021
South,186875,2021
South,110250,2021
South,298375,2021
South,105187.5,2021
South,35437.5,2021
South,31500,2021
South,12000,2021
Northeast,24062.5,2021
Northeast,30375,2021
Northeast,117562.5,2021
Northeast,19687.5,2021
Northeast,24500,2021
Northeast,8000,2021
Northeast,24062.5,2021
Northeast,30375,2021
Northeast,122375,2021
Northeast,26250,2021
Northeast,28000,2021
Northeast,4500,2021
Northeast,13500,2021
Northeast,21875,2021
Northeast,112500,2021
Northeast,22500,2021
Northeast,21000,2021
Northeast,11812.5,2021
Northeast,13500,2021
Northeast,25000,2021
Northeast,141000,2021
Northeast,31500,2021
Northeast,28875,2021
Northeast,19250,2021
Northeast,24375,2021
Northeast,52500,2021
Northeast,178750,2021
Northeast,52500,2021
Northeast,38500,2021
Northeast,33000,2021
Northeast,34125,2021
Northeast,63000,2021
Northeast,178750,2021
Northeast,63000,2021
Northeast,49500,2021
Northeast,38500,2021
Northeast,45500,2021
Northeast,78750,2021
Northeast,187687.5,2021
Northeast,63000,2021
Northeast,49500,2021
Northeast,44000,2021
Northeast,39812.5,2021
Northeast,73500,2021
Northeast,154375,2021
Northeast,41250,2021
Northeast,31500,2021
Northeast,27562.5,2021
Northeast,20625,2021
Northeast,33750,2021
Northeast,120000,2021
Northeast,33750,2021
Northeast,21875,2021
Northeast,17500,2021
Northeast,18000,2021
Northeast,36562.5,2021
Northeast,144375,2021
Northeast,42000,2021
Northeast,46800,2021
Northeast,42000,2021
Northeast,36750,2021
Northeast,56250,2021
Northeast,182875,2021
Northeast,57750,2021
Northeast,54000,2021
Northeast,42000,2021
Northeast,42875,2021
Northeast,61875,2020
Northeast,63000,2020
Northeast,50625,2020
Northeast,81000,2020
Northeast,47250,2020
West,68750,2020
West,42750,2020
West,73500,2020
West,47812.5,2020
West,76500,2020
West,43312.5,2020
West,55000,2020
West,36000,2020
West,99000,2020
West,55000,2020
West,88000,2020
West,57750,2020
West,57750,2020
West,41250,2020
West,132000,2020
West,56875,2020
West,104000,2020
West,63000,2020
West,71500,2020
West,56000,2020
West,148500,2020
West,78000,2020
West,117000,2020
West,72000,2020
West,78000,2020
West,90000,2020
West,189000,2020
West,107250,2020
West,160875,2020
West,102000,2020
West,117000,2020
West,120000,2020
West,180000,2020
West,97500,2020
West,143000,2020
West,94500,2020
West,178750,2020
West,80000,2020
West,182000,2020
West,113750,2020
West,136500,2020
West,108062.5,2020
West,195937.5,2020
West,64000,2020
West,126000,2020
West,78000,2020
West,94500,2020
West,72000,2020
West,140000,2020
West,50625,2020
West,115500,2020
West,71500,2020
West,78750,2020
West,63000,2020
West,113750,2020
West,42187.5,2020
West,120750,2020
West,74750,2020
West,89250,2020
West,72000,2020
West,122500,2020
West,53437.5,2020
West,141750,2020
West,87750,2020
West,99750,2020
West,85500,2020
West,140000,2020
West,56250,2020
West,44625,2020
West,34000,2020
West,59500,2020
West,33000,2020
West,50625,2020
West,28500,2020
West,55125,2020
West,34000,2020
West,59500,2020
West,33000,2020
West,45000,2020
West,24000,2020
West,77000,2020
West,40000,2020
West,77000,2020
West,49500,2020
West,45000,2020
West,28875,2020
West,110250,2020
West,42250,2020
West,85312.5,2020
West,49500,2020
West,56875,2020
West,39000,2020
West,157500,2020
West,85312.5,2020
West,121875,2020
West,74250,2020
West,73937.5,2020
West,114000,2020
West,217500,2020
West,130812.5,2020
West,186875,2020
West,131625,2020
West,147875,2020
West,159375,2020
West,226687.5,2020
West,131250,2020
West,181125,2020
West,123500,2020
West,220500,2020
West,111562.5,2020
West,228375,2020
West,151875,2020
West,173250,2020
West,140000,2020
West,225000,2020
West,80000,2020
West,156000,2020
West,105000,2020
West,117000,2020
West,91000,2020
West,165000,2020
West,59500,2020
West,115500,2020
West,78750,2020
West,77000,2020
West,62562.5,2020
West,107250,2020
West,49000,2020
West,126500,2020
West,86250,2020
West,93500,2020
West,91000,2020
West,154687.5,2020
West,80000,2020
West,182000,2020
West,122500,2020
West,130000,2020
West,113750,2020
West,175312.5,2020
West,84000,2020
West,54000,2020
West,56250,2020
West,56250,2020
West,45000,2020
West,34375,2020
West,50000,2020
West,66000,2020
West,56250,2020
West,56250,2020
West,45000,2020
West,30937.5,2020
West,42500,2020
West,86250,2020
West,63750,2020
West,69062.5,2020
West,63375,2020
West,30625,2020
West,48750,2020
West,115500,2020
West,65625,2020
West,75000,2020
West,54000,2020
West,32500,2020
West,56000,2020
West,99000,2020
West,65000,2020
West,65000,2020
West,54000,2020
West,32500,2020
West,80000,2020
West,168750,2020
West,125000,2020
West,125000,2020
West,120000,2020
West,79687.5,2020
West,135000,2020
West,198000,2020
West,143437.5,2020
West,132812.5,2020
West,126000,2020
West,122187.5,2020
West,115000,2020
West,197625,2020
West,150000,2020
West,117187.5,2020
West,129375,2020
West,107812.5,2020
West,64000,2020
West,126000,2020
West,112500,2020
West,78750,2020
West,84000,2020
West,85000,2020
West,58500,2020
West,99000,2020
West,89375,2020
West,56250,2020
West,63000,2020
West,56875,2020
West,56250,2020
West,108000,2020
West,101562.5,2020
West,71250,2020
West,94500,2020
West,95625,2020
West,104500,2020
West,180000,2020
West,159375,2020
West,110000,2020
West,132000,2020
West,106875,2020
West,109250,2020
West,212625,2020
West,133875,2020
West,74375,2020
West,84000,2020
Southeast,144375,2020
Southeast,191250,2020
Southeast,222750,2020
Southeast,118125,2020
Southeast,70000,2020
Southeast,81000,2020
Southeast,144375,2020
Southeast,191250,2020
Southeast,216675,2020
Southeast,118125,2020
Southeast,67812.5,2020
Southeast,75000,2020
Southeast,129937.5,2020
Southeast,174375,2020
Southeast,207562.5,2020
Southeast,114187.5,2020
Southeast,63437.5,2020
Southeast,78000,2020
Southeast,129937.5,2020
Southeast,180000,2020
Southeast,264825,2020
Southeast,149187.5,2020
Southeast,93750,2020
Southeast,105000,2020
Southeast,152250,2020
Southeast,268125,2020
Southeast,290250,2020
Southeast,158812.5,2020
Southeast,100000,2020
Southeast,116250,2020
Southeast,176312.5,2020
Southeast,323750,2020
Southeast,336375,2020
Southeast,189000,2020
Southeast,113437.5,2020
Southeast,127875,2020
Southeast,182000,2020
Southeast,341250,2020
Southeast,329062.5,2020
Southeast,189000,2020
Southeast,113437.5,2020
Southeast,104625,2020
Southeast,144375,2020
Southeast,277500,2020
Southeast,259875,2020
Southeast,148750,2020
Southeast,84375,2020
Southeast,97875,2020
Southeast,139562.5,2020
Southeast,247500,2020
Southeast,270000,2020
Southeast,144375,2020
Southeast,90625,2020
Southeast,105000,2020
Southeast,147000,2020
Southeast,268125,2020
Southeast,263250,2020
Southeast,140000,2020
Southeast,93125,2020
Southeast,116250,2020
Southeast,170625,2020
Southeast,297500,2020
Southeast,314437.5,2020
Southeast,168437.5,2020
Southeast,113437.5,2020
Southeast,127875,2020
Southeast,176312.5,2020
Southeast,306250,2020
Southeast,55125,2020
Southeast,26250,2020
Southeast,18750,2020
Southeast,10500,2020
Midwest,20250,2020
Midwest,39375,2020
Midwest,61250,2020
Midwest,15750,2020
Midwest,15000,2020
Midwest,7875,2020
Midwest,20250,2020
Midwest,35437.5,2020
Midwest,62300,2020
Midwest,15000,2020
Midwest,15750,2020
Midwest,3062.5,2020
Midwest,11250,2020
Midwest,31500,2020
Midwest,56000,2020
Midwest,12000,2020
Midwest,9000,2020
Midwest,3062.5,2020
Midwest,7500,2020
Midwest,31500,2020
Midwest,77875,2020
Midwest,20250,2020
Midwest,15000,2020
Midwest,7000,2020
Midwest,12375,2020
Midwest,47250,2020
Midwest,66937.5,2020
Midwest,21000,2020
Midwest,18375,2020
Midwest,18375,2020
Midwest,22500,2020
Midwest,80437.5,2020
Midwest,96250,2020
Midwest,40500,2020
Midwest,27000,2020
Midwest,24500,2020
Midwest,30000,2020
Midwest,92812.5,2020
Midwest,91875,2020
Midwest,40500,2020
Midwest,27000,2020
Midwest,21437.5,2020
Midwest,20250,2020
Midwest,73125,2020
Midwest,70875,2020
Midwest,30000,2020
Midwest,11250,2020
Midwest,10937.5,2020
Midwest,13125,2020
Midwest,36000,2020
Midwest,59062.5,2020
Midwest,21000,2020
Midwest,10500,2020
Midwest,9187.5,2020
Midwest,10125,2020
Midwest,45000,2020
Midwest,61250,2020
Midwest,24000,2020
Midwest,17400,2020
Midwest,21000,2020
Midwest,20625,2020
Midwest,60750,2020
Midwest,91437.5,2020
Midwest,37125,2020
Midwest,30375,2020
Midwest,27562.5,2020
Midwest,28875,2020
Midwest,74250,2020
Midwest,74812.5,2020
Midwest,64125,2020
Midwest,96187.5,2020
Midwest,58500,2020
Midwest,82500,2021
Midwest,53437.5,2021
Midwest,82687.5,2021
Midwest,57375,2021
Midwest,91125,2021
Midwest,54000,2021
Midwest,67500,2021
Midwest,47812.5,2021
Midwest,90562.5,2021
Midwest,57375,2021
Midwest,86062.5,2021
Midwest,58500,2021
Midwest,60000,2021
Midwest,45000,2021
Midwest,116437.5,2021
Midwest,50625,2021
Midwest,81000,2021
Midwest,48000,2021
Midwest,54000,2021
Midwest,56250,2021
Midwest,103500,2021
Midwest,57375,2021
Midwest,86062.5,2021
Midwest,52000,2021
Midwest,60750,2021
Midwest,60000,2021
Midwest,121500,2021
Midwest,70875,2021
Midwest,111375,2021
Midwest,68000,2021
Midwest,81000,2021
Midwest,90000,2021
Midwest,135000,2021
Midwest,81000,2021
Midwest,111375,2021
Midwest,72000,2021
Midwest,128250,2021
Midwest,71250,2021
Midwest,136687.5,2021
Midwest,103125,2021
Midwest,112500,2021
Midwest,76500,2021
Midwest,140250,2021
Midwest,60000,2021
Midwest,121500,2021
Midwest,90000,2021
Midwest,91125,2021
Midwest,72000,2021
Midwest,132000,2021
Midwest,67500,2021
Midwest,111375,2021
Midwest,82500,2021
Midwest,81000,2021
Midwest,67500,2021
Midwest,115500,2021
Midwest,60000,2021
Midwest,103500,2021
Midwest,77625,2021
Midwest,76500,2021
Midwest,68000,2021
Midwest,123750,2021
Midwest,71250,2021
Midwest,136687.5,2021
Midwest,101250,2021
Midwest,96187.5,2021
Midwest,85500,2021
Midwest,132000,2021
Midwest,75000,2021
Midwest,49000,2021
Midwest,73500,2021
Midwest,52500,2021
Midwest,78750,2021
South,42000,2021
South,87500,2021
South,56875,2021
South,76562.5,2021
South,55125,2021
South,63000,2021
South,33000,2021
South,83125,2021
South,78000,2021
South,104000,2021
South,57000,2021
South,65625,2021
South,38500,2021
South,81812.5,2021
South,54000,2021
South,67500,2021
South,40000,2021
South,50000,2021
South,31500,2021
South,79062.5,2021
South,43500,2021
South,75000,2021
South,48000,2021
South,78750,2021
South,66937.5,2021
South,170500,2021
South,124000,2021
South,139500,2021
South,104000,2021
South,120000,2021
South,78750,2021
South,240625,2021
South,148500,2021
South,167062.5,2021
South,175500,2021
South,126500,2021
South,99000,2021
South,272250,2021
South,156937.5,2021
South,191812.5,2021
South,213750,2021
South,117562.5,2021
South,95000,2021
South,239250,2021
South,151875,2021
South,140625,2021
South,167062.5,2021
South,121000,2021
South,80000,2021
South,168750,2021
South,90562.5,2021
South,90562.5,2021
South,94500,2021
South,82500,2021
South,49000,2021
South,141750,2021
South,91125,2021
South,91125,2021
South,148500,2021
South,143687.5,2021
South,99000,2021
South,253500,2021
South,198000,2021
South,198000,2021
South,189000,2021
South,181500,2021
South,110000,2021
South,292500,2021
South,59500,2021
South,27562.5,2021
South,19687.5,2021
South,9000,2021
Midwest,19687.5,2021
Midwest,39375,2021
Midwest,66500,2021
Midwest,15312.5,2021
Midwest,15312.5,2021
Midwest,6000,2021
Midwest,19687.5,2021
Midwest,35000,2021
Midwest,67200,2021
Midwest,14000,2021
Midwest,15750,2021
Midwest,0,2021
Midwest,8750,2021
Midwest,30000,2021
Midwest,60000,2021
Midwest,9187.5,2021
Midwest,6562.5,2021
Midwest,0,2021
Midwest,3937.5,2021
Midwest,26250,2021
Midwest,75600,2021
Midwest,17500,2021
Midwest,12250,2021
Midwest,3500,2021
Midwest,8750,2021
Midwest,41250,2021
Midwest,64000,2021
Midwest,18375,2021
Midwest,18375,2021
Midwest,18000,2021
Midwest,23625,2021
Midwest,81250,2021
Midwest,99000,2021
Midwest,42000,2021
Midwest,27562.5,2021
Midwest,24500,2021
Midwest,27562.5,2021
Midwest,87500,2021
Midwest,90000,2021
Midwest,43312.5,2021
Midwest,28000,2021
Midwest,15000,2021
Midwest,14000,2021
Midwest,61875,2021
Midwest,64000,2021
Midwest,24500,2021
Midwest,7000,2021
Midwest,6000,2021
Midwest,7875,2021
Midwest,26250,2021
Midwest,52000,2021
Midwest,15750,2021
Midwest,5250,2021
Midwest,3000,2021
Midwest,3500,2021
Midwest,33750,2021
Midwest,48000,2021
Midwest,15750,2021
Midwest,9975,2021
Midwest,15000,2021
Midwest,17500,2021
Midwest,55000,2021
Midwest,90000,2021
Midwest,35000,2021
Midwest,28000,2021
Midwest,24000,2021
Midwest,26250,2021
Midwest,68750,2021
Midwest,54000,2021
Midwest,81000,2021
Midwest,57000,2021
Midwest,83125,2021
South,45500,2021
South,91437.5,2021
South,62500,2021
South,84000,2021
South,59500,2021
South,65625,2021
South,35000,2021
South,86625,2021
South,84375,2021
South,112500,2021
South,60750,2021
South,67375,2021
South,40000,2021
South,84000,2021
South,58500,2021
South,58500,2021
South,32062.5,2021
South,41250,2021
South,27500,2021
South,66000,2021
South,31500,2021
South,65250,2021
South,38812.5,2021
South,96250,2021
South,80000,2021
South,202500,2021
South,151875,2021
South,168750,2021
South,131625,2021
South,148500,2021
South,100000,2021
South,288750,2021
South,185625,2021
South,206250,2021
South,219375,2021
South,155250,2021
South,118125,2021
South,312000,2021
South,150000,2021
South,206250,2021
South,254375,2021
South,127500,2021
South,105187.5,2021
South,263250,2021
South,171875,2021
South,158125,2021
South,187500,2021
South,126000,2021
South,70875,2021
South,149500,2021
South,78750,2021
South,78750,2021
South,83125,2021
South,68250,2021
South,40500,2021
South,123500,2021
South,62500,2021
South,62500,2021
South,129375,2021
South,121500,2021
South,95625,2021
South,243750,2021
South,232500,2021
South,232500,2021
South,227500,2021
South,214500,2021
South,135000,2021
South,341250,2021
South,63000,2021
South,35000,2021
South,30000,2021
South,10500,2021
Northeast,18750,2021
Northeast,40000,2021
Northeast,70000,2021
Northeast,21000,2021
Northeast,24000,2021
Northeast,7875,2021
Northeast,18750,2021
Northeast,40000,2021
Northeast,65800,2021
Northeast,24500,2021
Northeast,24000,2021
Northeast,5250,2021
Northeast,12500,2021
Northeast,32000,2021
Northeast,63000,2021
Northeast,21000,2021
Northeast,18000,2021
Northeast,7875,2021
Northeast,9375,2021
Northeast,36000,2021
Northeast,95287.5,2021
Northeast,35000,2021
Northeast,31500,2021
Northeast,16875,2021
Northeast,20625,2021
Northeast,66000,2021
Northeast,101062.5,2021
Northeast,48125,2021
Northeast,36000,2021
Northeast,23625,2021
Northeast,24062.5,2021
Northeast,78000,2021
Northeast,105875,2021
Northeast,52500,2021
Northeast,40500,2021
Northeast,23625,2021
Northeast,27500,2021
Northeast,90000,2021
Northeast,101062.5,2021
Northeast,52500,2021
Northeast,40500,2021
Northeast,23625,2021
Northeast,20625,2021
Northeast,78000,2021
Northeast,86625,2021
Northeast,43750,2021
Northeast,27000,2021
Northeast,16875,2021
Northeast,17187.5,2021
Northeast,54000,2021
Northeast,84000,2021
Northeast,43312.5,2021
Northeast,27500,2021
Northeast,16500,2021
Northeast,16250,2021
Northeast,63000,2021
Northeast,85312.5,2021
Northeast,38500,2021
Northeast,42900,2021
Northeast,28875,2021
Northeast,24375,2021
Northeast,70000,2021
Northeast,108062.5,2021
Northeast,52937.5,2021
Northeast,55000,2021
Northeast,33000,2021
Northeast,32500,2021
Northeast,84000,2021
Northeast,32812.5,2021
Northeast,33750,2021
Northeast,42187.5,2021
Northeast,25312.5,2021
West,49500,2021
West,110687.5,2021
West,43312.5,2021
West,30937.5,2021
West,21875,2021
West,40625,2021
West,57750,2021
West,104912.5,2021
West,48125,2021
West,30937.5,2021
West,15625,2021
West,28437.5,2021
West,45375,2021
West,101062.5,2021
West,43312.5,2021
West,25312.5,2021
West,18750,2021
West,22500,2021
West,45000,2021
West,129675,2021
West,57750,2021
West,41250,2021
West,34375,2021
West,44687.5,2021
West,84000,2021
West,147875,2021
West,84000,2021
West,44687.5,2021
West,41250,2021
West,48750,2021
West,94500,2021
West,153562.5,2021
West,89250,2021
West,48125,2021
West,41250,2021
West,52812.5,2021
West,105000,2021
West,147875,2021
West,89250,2021
West,48125,2021
West,34375,2021
West,36562.5,2021
West,84000,2021
West,119437.5,2021
West,68250,2021
West,30937.5,2021
West,27500,2021
West,32500,2021
West,63000,2021
West,110250,2021
West,62562.5,2021
West,28437.5,2021
West,24375,2021
West,28125,2021
West,66000,2021
West,111562.5,2021
West,68250,2021
West,52000,2021
West,48750,2021
West,51562.5,2021
West,90000,2021
West,157500,2021
West,91000,2021
West,32812.5,2021
West,33750,2021
West,42187.5,2021
West,25312.5,2021
West,13125,2021
West,76500,2021
West,41562.5,2021
West,33750,2021
West,42187.5,2021
West,25312.5,2021
West,11250,2021
West,63000,2021
West,56250,2021
West,38500,2021
West,56250,2021
West,37812.5,2021
West,11250,2021
West,71500,2021
West,75000,2021
West,39000,2021
West,56875,2021
West,31250,2021
West,12375,2021
West,91000,2021
West,72187.5,2021
West,45000,2021
West,56250,2021
West,37812.5,2021
West,15750,2021
West,142500,2021
West,126875,2021
West,90000,2021
West,112500,2021
West,89062.5,2021
West,44625,2021
West,260000,2021
West,160000,2021
West,110500,2021
West,127500,2021
West,100000,2021
West,70125,2021
West,220000,2021
West,159375,2021
West,108750,2021
West,105000,2021
West,91875,2021
West,55125,2021
West,105000,2021
West,89375,2021
West,77000,2021
West,60937.5,2021
West,52812.5,2021
West,39375,2021
West,90000,2021
West,65312.5,2021
West,61750,2021
West,45000,2021
West,37812.5,2021
West,24375,2021
West,84000,2021
West,72187.5,2021
West,72000,2021
West,58437.5,2021
West,65000,2021
West,47812.5,2021
West,180000,2021
West,131250,2021
West,119000,2021
West,100000,2021
West,100000,2021
West,57375,2021
West,199500,2021
West,51000,2021
West,53125,2021
West,63750,2021
West,41250,2021
West,24750,2021
West,106875,2021
West,63000,2021
West,53125,2021
West,63750,2021
Southeast,41250,2021
Southeast,22000,2021
Southeast,90000,2021
Southeast,82500,2021
Southeast,60000,2021
Southeast,82875,2021
Southeast,58500,2021
Southeast,22750,2021
Southeast,101250,2021
Southeast,107250,2021
Southeast,61250,2021
Southeast,84000,2021
Southeast,49500,2021
Southeast,24000,2021
Southeast,126562.5,2021
Southeast,103500,2021
Southeast,69062.5,2021
Southeast,82875,2021
Southeast,58500,2021
Southeast,24750,2021
Southeast,181125,2021
Southeast,160875,2021
Southeast,122500,2021
Southeast,178500,2021
Southeast,146625,2021
Southeast,85500,2021
Southeast,371250,2021
Southeast,243000,2021
Southeast,178125,2021
Southeast,199500,2021
Southeast,162000,2021
Southeast,123500,2021
Southeast,321750,2021
Southeast,242250,2021
Southeast,175312.5,2021
Southeast,168000,2021
Southeast,114000,2021
Southeast,76000,2021
Southeast,114750,2021
Southeast,90000,2021
Southeast,81250,2021
Southeast,54000,2021
Southeast,45000,2021
Southeast,38500,2021
Southeast,74250,2021
Southeast,60000,2021
Southeast,93437.5,2021
Southeast,72000,2021
Southeast,61875,2021
Southeast,45500,2021
Southeast,126000,2021
Southeast,103125,2021
Southeast,105000,2021
Southeast,86625,2021
Southeast,97500,2021
Southeast,80750,2021
Southeast,243000,2021
Southeast,180000,2021
Southeast,170000,2021
Southeast,144000,2021
Southeast,144000,2021
Southeast,94500,2021
Southeast,267187.5,2021
Southeast,172125,2021
Southeast,102375,2021
Southeast,56875,2021
Southeast,60000,2021
Southeast,105875,2021
Southeast,146250,2021
Southeast,182250,2021
Southeast,86625,2021
Southeast,52500,2021
Northeast,57000,2021
Northeast,105875,2021
Northeast,146250,2021
Northeast,176175,2021
Northeast,86625,2021
Northeast,50312.5,2021
Northeast,51000,2021
Northeast,91437.5,2021
Northeast,129375,2021
Northeast,167062.5,2021
Northeast,82687.5,2021
